"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"16",7047.09821152567,1246.81329099936,924.955850289423,732.375167734773,652.353545347421,482.862786721585,411.191836574107,347.034308530883,308.263693323791,253.152660981229,215.07239148998,176.870013589978,143.49904874005,114.193149457925,86.228427825877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",7071.15900071325,1274.27817277149,952.161739555432,759.827456256979,680.846708744489,509.799812403343,438.657774767868,375.414689561845,335.050222020859,279.681522427487,239.197897083066,201.257465788846,169.156248388257,137.038653796361,108.261975952124,79.9024461460175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",7097.88825726803,1299.63561397603,977.520959617994,785.091708507598,705.936284570192,535.797575999236,463.875329120961,400.487343124067,360.660322518625,304.595861517182,265.984026024938,226.099054941404,193.089867504733,161.43839058981,133.740670294813,101.265316320183,77.7250952485454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",7115.77838602303,1316.41159824907,994.478287610799,801.967932416179,722.167122864034,552.089544872875,481.082430387908,418.039335349683,378.923662250942,322.635080514256,283.856061897211,245.610295724587,211.054193221093,179.56139694971,149.763906169863,117.810198144618,96.203373359517,75.5498818547403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",7136.520039463,1337.53414536759,1015.51295856058,823.125451302574,743.225805073889,573.760222508171,502.613380567096,439.717145747475,399.745625716368,343.585444159763,305.223413323523,265.553285032904,231.848917570128,201.019950935495,171.242411328355,139.856850667071,116.912603999832,94.672395834109,72.1180201368374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",7160.62041851391,1361.88628265487,1039.82617014634,847.372538550704,767.908422646739,597.919304801411,526.521113262991,463.463982142947,423.843425803985,367.407898732761,328.521964165906,289.394074679845,254.540927047214,222.984803577014,192.5762850648,161.102153756299,138.791171489185,116.021581314168,89.9314451991059,71.5382103716694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",7182.33781423216,1383.53233853373,1061.47679126975,869.038160741825,789.506287924196,619.574727677069,548.188795130619,485.142416517553,445.532703010917,389.300942150124,350.371997744578,310.664334151245,276.346862054102,244.906495859583,216.025771925286,183.72396207146,161.080780188071,137.645026401424,111.024528137601,87.9224509135554,65.2330861243805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",7200.02912294442,1401.08002183573,1079.03297170854,886.579984092706,807.096173875187,637.18826471193,565.448483040652,502.595288268308,463.083531155739,406.687122273549,368.206486014936,327.917420090826,294.330772523641,263.342267818145,234.226349161766,203.245129720891,180.427283028659,156.249619460418,131.281557992199,108.725461578115,84.701722289398,65.1130609895803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",7225.24623056417,1426.51792709191,1104.45951619416,912.029119146619,832.518624259248,662.575970587421,591.130379602292,528.11861834623,488.442846206828,432.155616703784,393.406377393908,353.515422410281,319.776385410554,288.461367729147,258.604205947594,227.435880364216,203.411116956299,180.395514815276,155.032569770076,130.382177212121,105.273512867886,82.9437181266476,63.3750304866907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",7233.20055395593,1434.64963755401,1112.58406990066,920.165393111903,840.682353044462,670.751519369439,599.294396918553,536.295192284627,496.432227843114,440.055199198386,401.542310727725,361.674055895582,328.253569389368,297.243817000073,267.347351827759,236.479377373632,213.650811764479,189.708480144504,164.232588362042,140.936691585518,117.676332789042,96.9803204014067,76.8217726311311,61.4376731309129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",7254.8580227409,1456.1669940577,1134.10442375891,941.67884826751,862.18195174327,692.239155522844,620.762183290164,557.801418778811,518.09038370395,461.820062986779,422.879894191233,383.321792606366,349.300219649553,318.058265406018,288.824252377327,258.002983276855,235.045796340401,210.974554102137,186.206534968324,162.439875406211,137.647209053235,115.91038523731,95.7552583072507,80.2198160124654,61.9277274779395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",7276.40620078522,1477.7642113156,1155.70061568966,963.281241640733,883.787164247653,713.820558712954,642.362175897104,579.377999318158,539.644489185607,483.392802396214,444.415928489018,404.683216908724,371.091022719876,340.093272716495,310.796070401854,279.633039080171,255.856143116662,231.926968137189,207.191430738128,184.754712304194,159.222054053644,138.893887635004,119.428617594301,101.947291295811,80.5259974533602,63.3280188612116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",7295.66087339698,1497.23035531285,1175.16492324773,982.762725985941,903.283380807659,733.317502651598,661.855689633953,598.906248688391,558.94923359445,502.864403863115,463.929257180945,424.488655329868,390.741473375291,359.874908852292,330.732333714048,299.911502355345,276.61012208242,252.655219326343,227.99659619897,205.083128700724,179.578513208455,158.27964633554,138.795018066311,120.378487620667,99.6211459336314,80.8856720331489,58.2285899653785,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",7312.44345827561,1513.84262606569,1191.77895732583,999.362712272563,919.869571103766,749.914273670003,678.449665170966,615.468966142918,575.680253554545,519.466877741902,480.599892232656,440.986370193109,407.277508185373,376.046495506452,346.79173268981,315.722035377728,292.208920960019,268.51682513101,243.562213215969,220.490104583319,195.546227818722,174.79219845654,154.250358720088,136.539564174873,115.957453300446,97.2466567868891,73.6382733049117,55.8322216556964,0,0,0,0,0,0,0,0,0,0,0,0
"30",7335.23888764913,1536.64145024433,1214.57854802665,1022.16179363233,942.667655118473,772.716971292294,701.251560588732,638.278317708949,598.47883795956,542.259652143808,503.399117426913,463.756140632546,430.03940409014,398.943882277808,369.623092885062,338.604809589975,315.192782531448,291.405520769604,266.509167994498,243.048636637747,218.207699720605,196.532448216463,175.978898908464,157.671149568457,136.002052463416,117.027124552264,93.6071493167532,75.0698715117047,56.3550931697834,0,0,0,0,0,0,0,0,0,0,0
"31",7353.63356078858,1555.04370649421,1232.98073338689,1040.5644358205,961.071683622898,791.117359920586,719.653702857438,656.680030660986,616.876432206249,560.665144697886,521.794796134939,482.173231841577,448.445842841261,417.34061301839,388.011094703332,357.005516825103,333.410348510966,309.732307040348,284.933854040865,261.484540965508,236.227664221546,215.076358813461,194.693991054072,176.640666195893,156.275467246165,137.684329499961,114.659155652468,94.6335859594168,73.8626020265667,54.4857970812575,0,0,0,0,0,0,0,0,0,0
"32",7367.44277492677,1568.84915720973,1246.78602131889,1054.36942160606,974.87712924052,804.922741401554,733.457609469277,670.483838184826,630.684624668399,574.469961647714,535.595228835773,495.967817553297,462.24138572565,431.138455998567,401.785305972322,370.790293639478,347.316998354931,323.580553408941,298.740896887774,275.422625603843,250.081018431704,229.059417727018,208.567994871717,189.925017686741,169.605296545265,150.187344034142,125.883155252787,106.58591211224,86.0573747071393,65.5642365105071,46.9415225158926,0,0,0,0,0,0,0,0,0
"33",7383.73384748633,1585.13940485705,1263.07632420129,1070.65995063179,991.16586668689,821.213197912423,749.751256445367,686.776792856812,646.976638289107,590.762230365495,551.885605285031,512.264609761612,478.533888428574,447.426939314659,418.0515410536,387.062109671616,363.597258828617,339.881096463313,315.064081145263,291.519057159223,266.189107641986,245.339534029557,225.243164629498,207.083105421987,186.835864033966,167.125783859082,142.653175469366,123.672452479643,102.00500218076,81.1356113470441,61.6441741731369,46.1025297834891,0,0,0,0,0,0,0,0
"34",7394.28814755667,1595.71339192274,1273.64927361267,1081.2338232514,1001.74487680571,831.787020503757,760.327496261867,697.349796143425,657.536357678386,601.323401740887,562.44393405792,522.832542956142,489.108825584021,458.017983608511,428.316035334918,397.490307957933,374.165599769388,350.580275873366,325.888733606578,302.422058433105,276.947046451917,256.37812212149,236.566505344036,218.759617894426,198.656357016765,179.796264883299,156.215095470494,135.321951404375,113.34898383534,92.6050079185274,74.1934501885954,59.3641131213558,43.3506526590283,0,0,0,0,0,0,0
"35",7410.81711269553,1612.23544493851,1290.17188019628,1097.7562557421,1018.26504182929,848.309709664773,776.847549653143,713.873087020945,674.063086928339,617.852825680278,578.974985804764,539.361541855861,505.634928564012,474.54143993579,445.085570278073,414.151583102589,390.731521610462,367.035996343181,342.254959730708,318.845145933709,293.530866967616,272.649296735256,252.561028012112,234.552934003974,213.895591375976,194.290220038557,170.467899415328,149.611729933129,128.746542795184,109.079091908504,88.9087977257291,75.0298803548992,58.5629880557551,44.2749456154193,0,0,0,0,0,0
