"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"13",0,0,0,0.000222965440356745,0,0.000222965440356745,0.000668896321070234,0.000222965440356745,0.00144927536231884,0.00245261984392419,0.00278706800445931,0.0032329988851728,-0.0148272017837235,0.00189520624303233,0.00100334448160535,0.000334448160535117,0.000222965440356745,0.000111482720178372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0.000103766732385597,0,0.000103766732385597,0.000207533464771194,0.000207533464771194,0.000933900591470375,0.00103766732385597,0.00145273425339836,0.00259416830963993,0.00269793504202553,0.00311300197156792,-0.015980076787382,0.00186780118294075,0.000622600394313583,0.000415066929542389,0.000207533464771194,0.000311300197156792,0,0,0.000103766732385597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,9.71062342202369e-05,0,0.000291318702660711,0.000679743639541659,0.000873956107982132,0.00145659351330355,0.00252476208972616,0.00271897455816663,0.003690036900369,-0.0156341037094581,0.00174791221596426,0.000582637405321422,0.000776849873761896,9.71062342202369e-05,9.71062342202369e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0.000154894671623296,7.74473358116481e-05,0.000154894671623296,0.000464684014869888,0.000309789343246592,0.000542131350681537,0.000774473358116481,0.00147149938042131,0.00232342007434944,0.00271065675340768,0.0038723667905824,-0.0155669144981413,0.00178128872366791,0.000309789343246592,0.000309789343246592,7.74473358116481e-05,7.74473358116481e-05,0.000154894671623296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,9.53925403033483e-05,0,9.53925403033483e-05,0.000381570161213393,0.000286177620910045,0.000953925403033483,0.000953925403033483,0.00133549556424688,0.00248020604788706,0.00305256128970715,0.00448344939425737,-0.0177430124964228,0.00219402842697701,0.000667747782123438,0.000286177620910045,0.000476962701516741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,8.50340136054422e-05,8.50340136054422e-05,0.000170068027210884,0.000255102040816327,0.000255102040816327,0.000935374149659864,0.00102040816326531,0.0016156462585034,0.00170068027210884,0.00408163265306122,0.00433673469387755,-0.0179421768707483,0.0016156462585034,0.00127551020408163,8.50340136054422e-05,0.000170068027210884,8.50340136054422e-05,8.50340136054422e-05,8.50340136054422e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,7.96622321357444e-05,7.96622321357444e-05,0,7.96622321357444e-05,0,0.000238986696407233,0.000238986696407233,0.000318648928542978,0.00103560901776468,0.00119493348203617,0.00183223133912212,0.00318648928542978,0.0028678403568868,0.00390344937465148,-0.0188002867840357,0.00207121803552936,0.000876284553493189,0.000477973392814467,0.000159324464271489,0,7.96622321357444e-05,7.96622321357444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,7.76276975624903e-05,0,0,0,0.000155255395124981,0.000155255395124981,7.76276975624903e-05,0.000543393882937432,0.000621021580499922,0.000698649278062413,0.00131967085856233,0.00209594783418724,0.0024064586244372,0.00333799099518708,0.00465766185374942,-0.019795062878435,0.00178543704393728,0.000853904673187393,0.000388138487812451,0.000310510790249961,0,0.000155255395124981,0,0,7.76276975624903e-05,0,0,0,0,7.76276975624903e-05,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,7.590708972218e-05,7.590708972218e-05,0.00015181417944436,0.00060725671777744,0.00060725671777744,0.0011386063458327,0.0015181417944436,0.0015181417944436,0.00250493396083194,0.00463033247305298,0.00394716866555336,-0.0216335205708213,0.00235311978138758,0.000910885076666161,0.000910885076666161,0.00022772126916654,0.00015181417944436,7.590708972218e-05,7.590708972218e-05,7.590708972218e-05,0,7.590708972218e-05,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,7.33299112708074e-05,0.000219989733812422,0.000293319645083229,0.000366649556354037,0.000219989733812422,0.0010266187577913,0.000879958935249688,0.00161325804795776,0.00307985627337391,0.00417980494243602,0.00542641343403974,-0.0211190144459925,0.00219989733812422,0.000733299112708074,0.000219989733812422,0.000439979467624844,7.33299112708074e-05,0,0,7.33299112708074e-05,0,0,0,0,0,0,0,0,0,0
